Name,ISO3,Raw Value,Target Value,Override Value
New Zealand,NZL,2,10,8
Oman,OMN,70,7,8
Pakistan,PAK,138,4,4
Panama,PAN,69,7,7
Peru,PER,50,8,7
Philippines,PHL,103,5,6
Palau,PLW,136,4,5
Papua New Guinea,PNG,145,3,5
Poland,POL,25,9,8
Puerto Rico,PRI,57,8,8
"Korea, Dem. Rep.",PRK,200,1,1
Portugal,PRT,23,9,8
Paraguay,PRY,100,6,6
French Polynesia,PYF,50,8,7
Qatar,QAT,68,7,10
Romania,ROU,37,9,8
Russian Federation,RUS,51,8,7
Rwanda,RWA,62,7,6
Saudi Arabia,SAU,82,6,6
Sudan,SDN,159,3,2
Senegal,SEN,153,3,5
Singapore,SGP,1,10,10
Solomon Islands,SLB,112,5,4
Sierra Leone,SLE,147,3,3
El Salvador,SLV,86,6,6
San Marino,SMR,76,7,
Somalia,SOM,200,1,1
Serbia,SRB,59,8,6
South Sudan,SSD,187,1,1
Sao Tome and Principe,STP,166,2,4
Suriname,SUR,156,3,5
Slovak Republic,SVK,29,9,8
Slovenia,SVN,29,9,8
Sweden,SWE,8,10,8
Swaziland,SWZ,105,5,4
Sint Maarten (Dutch part),SXM,50,8,7
Seychelles,SYC,95,6,7
Syrian Arab Republic,SYR,175,2,2
Turks and Caicos Islands,TCA,50,8,7
Chad,TCD,183,1,3
Togo,TGO,150,3,4
Thailand,THA,49,8,7
Tajikistan,TJK,132,4,4
Turkmenistan,TKM,100,6,2
Timor-Leste,TLS,173,2,4
Tonga,TON,78,7,5
Trinidad and Tobago,TTO,88,6,6
Tunisia,TUN,74,7,5
Turkey,TUR,55,8,9
Tuvalu,TUV,100,6,3
Tanzania,TZA,139,4,7
Uganda,UGA,122,4,5
Ukraine,UKR,83,6,6
Uruguay,URY,92,6,6
United States,USA,7,10,6
Uzbekistan,UZB,87,6,5
St. Vincent and the Grenadines,VCT,111,5,6
"Venezuela, RB",VEN,186,1,4
Virgin Islands (U.S.),VIR,50,8,8
Vietnam,VNM,90,6,7
Vanuatu,VUT,94,6,5
West Bank and Gaza,PSE,129,4,
Samoa,WSM,96,6,5
"Yemen, Rep.",YEM,170,2,1
South Africa,ZAF,73,7,7
"Congo, Dem. Rep.",COD,184,1,3
Zambia,ZMB,97,6,5
Zimbabwe,ZWE,155,3,3
Taiwan,TWN,,,7
Romania,ROM,,,
French Guiana,GUF,,,7
Timor-Leste,TMP,,,4
Mayotte,MYT,,,6
