year;week;origin;action;target;delta_value;event_name
-1;-1;USSR;SET_BLOCK_RELATIONS;NZ_DOMESTIC;-2;Soviet stance vs New Zealand territories
-1;-1;ANZUS;SET_BLOCK_RELATIONS;USSR;-2;ANZUS stance vs Soviet bloc
-1;-1;ANZUS;SET_BLOCK_RELATIONS;CN;-2;ANZUS stance vs PRC
-1;-1;ANZUS;SET_BLOCK_RELATIONS;KP;-3;ANZUS stance vs North Korea
-1;-1;COMMONWEALTH_CORE;SET_BLOCK_RELATIONS;USA_DOMESTIC;2
-1;-1;CA;SET_BLOCK_RELATIONS;USA_DOMESTIC;3
-1;-1;CN;SET_RELATIONS_OVERRIDE;AU_DOMESTIC;-2;PRC stance vs Australian territories
-1;-1;CN;SET_RELATIONS_OVERRIDE;NZ_DOMESTIC;-2;PRC stance vs New Zealand territories
-1;-1;IL;SET_RELATIONS_OVERRIDE;ARAB_LEAGUE;-2;Israel vs Arab League post-1948 war
-1;-1;IL;SET_RELATIONS_OVERRIDE;USA_DOMESTIC;3;Israel-US recognition and support
-1;-1;IL;SET_RELATIONS_OVERRIDE;GB_DOMESTIC;2;Israel-UK post-mandate relations
-1;-1;IL;SET_RELATIONS_OVERRIDE;FR_DOMESTIC;2;Israel-France arms supply relationship
-1;-1;CN;SET_RELATIONS_OVERRIDE;TW;-3;PRC vs ROC Civil War
-1;-1;CN;SET_RELATIONS_OVERRIDE;JP;-2;PRC vs Japan WWII legacy
-1;-1;CN;SET_RELATIONS_OVERRIDE;KR;-2;PRC vs South Korea Korean War
-1;-1;CN;SET_RELATIONS_OVERRIDE;KP;4;PRC-North Korea Korean War alliance
-1;-1;CN;SET_RELATIONS_OVERRIDE;VN;3;PRC-North Vietnam communist alignment
-1;-1;KP;SET_RELATIONS_OVERRIDE;KR;-3;North Korea vs South Korea Korean War
-1;-1;IN;SET_RELATIONS_OVERRIDE;PK;-2;India-Pakistan Kashmir War
-1;-1;PK;SET_RELATIONS_OVERRIDE;BD;4;Pakistan-Bangladesh (same state pre-1971)
-1;-1;IN;SET_RELATIONS_OVERRIDE;CN;1;India-China Panchsheel 1954
-1;-1;IN;SET_RELATIONS_OVERRIDE;USSR;1;India-USSR Nehru non-alignment warm tilt
-1;-1;IN;SET_RELATIONS_OVERRIDE;USA_DOMESTIC;1;India-US non-aligned but diplomatic
-1;-1;JP;SET_RELATIONS_OVERRIDE;USA_DOMESTIC;2;Japan-US San Francisco Security Treaty
-1;-1;JP;SET_RELATIONS_OVERRIDE;KR;-1;Japan-Korea colonial history no normalization
-1;-1;JP;SET_RELATIONS_OVERRIDE;USSR;-1;Japan-USSR no peace treaty Kuril dispute
-1;-1;KR;SET_RELATIONS_OVERRIDE;USA_DOMESTIC;3;South Korea-US Mutual Defense Treaty
-1;-1;TW;SET_RELATIONS_OVERRIDE;USA_DOMESTIC;2;Taiwan-US Mutual Defense Treaty
-1;-1;PH;SET_RELATIONS_OVERRIDE;USA_DOMESTIC;3;Philippines-US Mutual Defense Treaty
-1;-1;VN;SET_RELATIONS_OVERRIDE;FR_DOMESTIC;-2;North Vietnam vs France Dien Bien Phu
-1;-1;IR;SET_RELATIONS_OVERRIDE;USA_DOMESTIC;2;Iran-US post-Ajax coup client state
-1;-1;IR;SET_RELATIONS_OVERRIDE;GB_DOMESTIC;-1;Iran-UK Mossadegh coup resentment
-1;-1;IR;SET_RELATIONS_OVERRIDE;USSR;-1;Iran-USSR Soviet pressure cold relations
-1;-1;YUGOSLAVIA;SET_RELATIONS_OVERRIDE;US_DOMESTIC;2;Yugoslavia-US Tito supported against Soviets
-1;-1;YUGOSLAVIA;SET_RELATIONS_OVERRIDE;GB_DOMESTIC;1;Yugoslavia-UK Western sympathy post-Tito split
#-- END OF INIT EVENTS! ALL EVENTS BELOW EXECUTE LIVE!
#
#-- USA Sends Military advisors to South VN:
1955;6;USA_DOMESTIC;SET_RELATIONS_OVERRIDE;VN;-1;US military advisors deployed to South Vietnam
#-- SEATO Creation:
1955;7;SEATO;CREATE_BLOCK;US_DOMESTIC,GB_DOMESTIC,FR_DOMESTIC,AU_DOMESTIC,NZ_DOMESTIC,PK,PH,TH;3;SEATO established
1955;7;SEATO;SET_BLOCK_RELATIONS;USSR;-2;SEATO vs Soviet bloc
1955;7;SEATO;SET_BLOCK_RELATIONS;CN;-2;SEATO vs PRC
1955;7;SEATO;SET_BLOCK_RELATIONS;VN;-2;SEATO vs North Vietnam
#-- Baghdad Pact Creation:
1955;8;BAGHDAD_PACT;CREATE_BLOCK;GB,TR,IQ,IR,PK;2;Baghdad Pact established
1955;8;BAGHDAD_PACT;SET_BLOCK_RELATIONS;USSR;-2;Baghdad Pact vs Soviet bloc
#-- Bandung Conference, NAM Statement-of-intent:
1955;17;NAM_CORE;CREATE_BLOCK;IN,RS,HR,SI,BA,ME,MK,XK,EG,ID,MM,LK;2;Non-Aligned core leaders - Bandung Conference
#-- DE (Full DE) joins NATO:
1955;19;DE;JOIN_BLOCK;NATO;;West Germany admitted to NATO
#-- Warsaw Pact is formed:
1955;19;WARSAW_PACT;CREATE_BLOCK;RU,UA,BY,EE,LV,LT,MD,GE,AM,AZ,KZ,UZ,TM,TJ,KG,AL,BG,CZ,SK,HU,PL,RO|enforce;3;Warsaw Pact founded
1955;19;WARSAW_PACT;SET_BLOCK_RELATIONS;NATO;-2;Warsaw Pact vs NATO
1955;19;WARSAW_PACT;SET_BLOCK_RELATIONS;USA_DOMESTIC;-2;Warsaw Pact vs US territories
1955;19;WARSAW_PACT;SET_BLOCK_RELATIONS;GB_DOMESTIC;-2;Warsaw Pact vs British territories
1955;19;WARSAW_PACT;SET_BLOCK_RELATIONS;FR_DOMESTIC;-2;Warsaw Pact vs French territories
#-- Austrian Neutrality Treaty:
1955;19;AT;SET_RELATIONS_OVERRIDE;USSR;1;Austrian neutrality - Soviet recognition
1955;19;AT;SET_RELATIONS_OVERRIDE;NATO;1;Austrian neutrality - Western recognition
#-- Geneva Summit:
# 1955 Week 29 -- Skipping since didn't produce noticeable changes in relations
#-- UN Memeber New Admissions:
# 1955 Week 50 -- Skippin, no impact
#-- Sudan Gains Independence, Joins Arab League:
1956;1;SD;LEAVE_BLOCK;COMMONWEALTH_COLONIES;;Sudan independence
1956;1;SD;JOIN_BLOCK;ARAB_LEAGUE;;Sudan joins Arab League
#-- Nasser's Nationalization Speech. Suez Crisis:
1956;30;EG;SET_RELATIONS_OVERRIDE;GB_DOMESTIC;-1;Suez Canal nationalization - Anglo-Egyptian tensions
1956;30;EG;SET_RELATIONS_OVERRIDE;FR_DOMESTIC;-1;Suez Canal nationalization - Franco-Egyptian tensions
1956;44;IL;SET_RELATIONS_OVERRIDE;EG;-3;Sinai Campaign - Israel invades Egypt
1956;44;EG;SET_RELATIONS_OVERRIDE;GB_DOMESTIC;-2;Suez Crisis - British invasion
1956;44;EG;SET_RELATIONS_OVERRIDE;FR_DOMESTIC;-2;Suez Crisis - French invasion
1956;44;EG;SET_RELATIONS_OVERRIDE;USSR;3;Egypt-Soviet alignment post-Suez
1956;44;EG;SET_RELATIONS_OVERRIDE;USA_DOMESTIC;1;US forced British withdrawal - Egyptian goodwill
1956;44;ARAB_LEAGUE;SET_BLOCK_RELATIONS;GB_DOMESTIC;-1;Arab world anger at British Suez invasion
1956;44;ARAB_LEAGUE;SET_BLOCK_RELATIONS;FR_DOMESTIC;-1;Arab world anger at French Suez invasion
#-- Ghana Gains Independence:
1957;10;GH;LEAVE_BLOCK;COMMONWEALTH_COLONIES;;Ghana independence
1957;10;GH;JOIN_BLOCK;NAM_CORE;;Nkrumah joins non-aligned leadership
#-- EEC Founding:
1957;13;EEC;CREATE_BLOCK;BE,FR,DE,IT,LU,NL;2;European Economic Community founded
#-- Malaysia Gains Independence. Singapore Remains under Crown:
1957;35;MY;LEAVE_BLOCK;COMMONWEALTH_COLONIES;;Malayan independence
1957;35;MY;JOIN_BLOCK;COMMONWEALTH_INDEPENDENTS;;Malaya joins Commonwealth as independent member
#-- Tunissia and Morocco Gain Independence and Join Arab League:
1958;1;MA;JOIN_BLOCK;ARAB_LEAGUE;;Morocco joins Arab League
1958;1;TN;JOIN_BLOCK;ARAB_LEAGUE;;Tunisia joins Arab League
1958;1;MA;SET_RELATIONS_OVERRIDE;FR_DOMESTIC;1;Morocco-France post-independence warm ties
1958;1;TN;SET_RELATIONS_OVERRIDE;FR_DOMESTIC;1;Tunisia-France post-independence warm ties
#-- Egypt, Syria and Iraq, Jordan shortly declare formation of united republics, respectively.
1958;5;EG;SET_RELATIONS_OVERRIDE;SY;4;United Arab Republic - Egypt-Syria political union
1958;7;IQ;SET_RELATIONS_OVERRIDE;JO;4;Arab Federation - Iraq-Jordan Hashemite union
#-- May 1958 Crisis in France:
1958;20;DZ;SET_RELATIONS_OVERRIDE;FR_DOMESTIC;-3;Algerian War - active conflict
#-- De'Gaulle Forms French Communit:
1958;27;FRENCH_COMMUNITY;CREATE_BLOCK;FR,SN,CI,ML,NE,TD,CF,GA,CG,BJ,TG,MR,DJ;3;French Community established
#-- Iraqi Coup, US Deploys Marines to Beirut:
1958;29;IQ;SET_RELATIONS_OVERRIDE;JO;0;Arab Federation dissolved - Iraqi revolution
1958;29;IQ;LEAVE_BLOCK;BAGHDAD_PACT;;Iraq leaves Baghdad Pact after revolution
1958;29;IQ;LEAVE_BLOCK;ARAB_LEAGUE;;Iraq leaves Arab League post-revolution
1958;29;IQ;SET_RELATIONS_OVERRIDE;GB;-2;Anti-British sentiment after Iraqi revolution
1958;29;IQ;SET_RELATIONS_OVERRIDE;US;-1;Iraq turns away from Western alignment
1958;29;IQ;SET_RELATIONS_OVERRIDE;USSR;2;Iraq-Soviet warming post-revolution
1958;29;LB;SET_RELATIONS_OVERRIDE;US;3;US Marines land in Beirut - Lebanon-US alignment
1958;29;BAGHDAD_PACT;DISSOLVE_BLOCK;;;Baghdad Pact dissolved
#-- 2nd Taiwan Strait Crisis:
1958;34;CN;SET_RELATIONS_OVERRIDE;USA_DOMESTIC;-2;Second Taiwan Strait Crisis - direct US-PRC naval confrontation
#-- Guinea Rejects French Community and gains Independence:
1958;40;GN;LEAVE_BLOCK;FRENCH_WEST_AFRICA;;Guinea rejects French Community
1958;40;GN;SET_RELATIONS_OVERRIDE;FR_DOMESTIC;-2;France punishes Guinea for independence vote
#-- Cuban Revolution, Fidel Castro comes to power:
1959;1;CU;SET_RELATIONS_OVERRIDE;USA_DOMESTIC;-1;Cuban Revolution - US unease with Castro
#-- Dalai Lama exile:
1959;13;IN;SET_RELATIONS_OVERRIDE;CN;0;Dalai Lama exile - Sino-Indian tensions begin
#-- Spain Joins OEEC:
1959;29;ES;JOIN_BLOCK;OEEC;;Spain joins OEEC
#-- EFTA Created:
1960;1;EFTA;CREATE_BLOCK;AT,DK,NO,PT,SE,CH,GB;2;EFTA founded
#-- Sino-Soviet Split Begins:
1960;1;USSR;SET_RELATIONS_OVERRIDE;CN;-1;Sino-Soviet split - ideological rift
#-- Sharperville Massacre:
1960;12;ZA;SET_RELATIONS_OVERRIDE;GB_DOMESTIC;-1;Sharpeville massacre - Commonwealth pressure on South Africa
1960;12;ZA;SET_RELATIONS_OVERRIDE;CA;-1;Canada condemns Sharpeville
1960;12;ZA;SET_RELATIONS_OVERRIDE;AU_DOMESTIC;-1;Australia under pressure over Sharpeville
1960;12;ZA;SET_RELATIONS_OVERRIDE;NZ_DOMESTIC;-1;New Zealand condemns Sharpeville
1960;12;ZA;SET_RELATIONS_OVERRIDE;IN;-2;India leads anti-apartheid condemnation
#-- U-2 Spy Plane shot down over USSR:
1960;18;US;SET_RELATIONS_OVERRIDE;USSR;-3;U-2 incident - direct superpower confrontation
#-- Congo Independence Crisis:
1960;26;CD;SET_RELATIONS_OVERRIDE;BE;-2;Congo independence crisis - anti-Belgian sentiment
1960;26;CD;SET_RELATIONS_OVERRIDE;USSR;1;Soviet interest in Congo crisis
#-- Year of Africa: French colonies gain independence:
1960;27;SN;LEAVE_BLOCK;FRENCH_COMMUNITY;;Senegal independence
1960;27;CI;LEAVE_BLOCK;FRENCH_COMMUNITY;;Ivory Coast independence
1960;27;ML;LEAVE_BLOCK;FRENCH_COMMUNITY;;Mali independence
1960;27;NE;LEAVE_BLOCK;FRENCH_COMMUNITY;;Niger independence
1960;27;BF;LEAVE_BLOCK;FRENCH_COMMUNITY;;Burkina Faso independence
1960;27;TD;LEAVE_BLOCK;FRENCH_COMMUNITY;;Chad independence
1960;27;CF;LEAVE_BLOCK;FRENCH_COMMUNITY;;Central African Republic independence
1960;27;GA;LEAVE_BLOCK;FRENCH_COMMUNITY;;Gabon independence
1960;27;CG;LEAVE_BLOCK;FRENCH_COMMUNITY;;Congo-Brazzaville independence
1960;27;BJ;LEAVE_BLOCK;FRENCH_COMMUNITY;;Benin independence
1960;27;TG;LEAVE_BLOCK;FRENCH_COMMUNITY;;Togo independence
1960;27;MR;LEAVE_BLOCK;FRENCH_COMMUNITY;;Mauritania independence
1960;27;SN;LEAVE_BLOCK;FRENCH_WEST_AFRICA;;Senegal leaves FWA
1960;27;CI;LEAVE_BLOCK;FRENCH_WEST_AFRICA;;Ivory Coast leaves FWA
1960;27;ML;LEAVE_BLOCK;FRENCH_WEST_AFRICA;;Mali leaves FWA
1960;27;NE;LEAVE_BLOCK;FRENCH_WEST_AFRICA;;Niger leaves FWA
1960;27;BF;LEAVE_BLOCK;FRENCH_WEST_AFRICA;;Burkina Faso leaves FWA
1960;27;BJ;LEAVE_BLOCK;FRENCH_WEST_AFRICA;;Benin leaves FWA
1960;27;TG;LEAVE_BLOCK;FRENCH_WEST_AFRICA;;Togo leaves FWA
1960;27;TD;LEAVE_BLOCK;FRENCH_EQUATORIAL_AFRICA;;Chad leaves FEA
1960;27;CF;LEAVE_BLOCK;FRENCH_EQUATORIAL_AFRICA;;CAR leaves FEA
1960;27;CG;LEAVE_BLOCK;FRENCH_EQUATORIAL_AFRICA;;Congo-Brazzaville leaves FEA
1960;27;GA;LEAVE_BLOCK;FRENCH_EQUATORIAL_AFRICA;;Gabon leaves FEA
1960;27;FR;SET_RELATIONS_OVERRIDE;SN,CI,ML,NE,BF,TD,CF,GA,CG,BJ,TG,MR;2;France retains warm ties via defence pacts
#-- Cyprus Independence:
1960;33;CY;LEAVE_BLOCK;COMMONWEALTH_COLONIES;;Cyprus independence
1960;33;CY;SET_RELATIONS_OVERRIDE;GB_DOMESTIC;1;Cyprus-UK post-independence warm ties (bases retained)
#-- OPEC Founded:
1960;37;OPEC;CREATE_BLOCK;IR,IQ,KW,SA,VE;2;OPEC founded
#-- OEEC transforms into OECD:
1960;50;OEEC;DISSOLVE_BLOCK;;;OEEC dissolved - superseded by OECD
1960;50;OECD;CREATE_BLOCK;AT,BE,DK,FR,GR,IS,IE,IT,LU,NL,NO,PT,SE,CH,TR,GB,DE,US,CA;2;OECD founded
#-- Qatar joins OPEC:
1961;1;QA;JOIN_BLOCK;OPEC;;Qatar joins OPEC
#-- Kuwait joins Arab League:
1961;7;KW;JOIN_BLOCK;ARAB_LEAGUE;;Kuwait joins Arab League
#-- Albania Breaks with the USSR:
1961;16;AL;LEAVE_BLOCK;WARSAW_PACT;;Albania leaves Warsaw Pact - Sino-Soviet split fallout
1961;16;AL;LEAVE_BLOCK;COMECON;;Albania leaves COMECON
1961;16;AL;SET_RELATIONS_OVERRIDE;USSR;-2;Albania-USSR rupture
1961;16;AL;SET_RELATIONS_OVERRIDE;CN;3;Albania-China alignment
1961;16;AL;SET_RELATIONS_OVERRIDE;YUGOSLAVIA;-2;Albania-Yugoslavia historic hostility - Hoxha vs Tito
#-- Bay of Pigs, Cuba joins Soviet Orbit:
1961;16;CU;SET_RELATIONS_OVERRIDE;US;-3;Bay of Pigs - US-Cuba full break
1961;16;CU;SET_RELATIONS_OVERRIDE;USSR;3;Cuba-Soviet alignment solidified
1961;16;CU;JOIN_BLOCK;COMECON;;Cuba joins Soviet economic bloc
#-- South Africa Expelled from Commonwealth:
1961;22;ZA;LEAVE_BLOCK;COMMONWEALTH_INDEPENDENTS;;South Africa expelled from Commonwealth - apartheid
1961;22;ZA;SET_RELATIONS_OVERRIDE;GB_DOMESTIC;-2;South Africa-UK break over apartheid
1961;22;ZA;SET_RELATIONS_OVERRIDE;IN;-3;India-South Africa - apartheid vs non-alignment
1961;22;ZA;SET_RELATIONS_OVERRIDE;CA;-2;Canada leads Commonwealth apartheid opposition
1961;22;ZA;SET_RELATIONS_OVERRIDE;AU_DOMESTIC;-1;Australia reluctant on South Africa expulsion
1961;22;ZA;SET_RELATIONS_OVERRIDE;NZ_DOMESTIC;-1;New Zealand follows Commonwealth consensus
#-- Belgrade Conference, NAM is formalised as a block:
1961;36;NAM;CREATE_BLOCK;YYUGOSLAVIA,EG,IN,ID,GH,MM,LK,AF,ET,GN,IQ,YE,SA,MA,TN,LY,SD,LB,SY,MR,ML,CY,NP;2;NAM formally established at Belgrade
#-- Libiya and Indonesia join OPEC:
1962;1;LY;JOIN_BLOCK;OPEC;;Libya joins OPEC
1962;1;ID;JOIN_BLOCK;OPEC;;Indonesia joins OPEC
#-- Algeria normalizes relations /w France, joins Arab League:
1962;7;DZ;SET_RELATIONS_OVERRIDE;FR_DOMESTIC;1;Algerian independence - normalisation begins
1962;7;DZ;JOIN_BLOCK;ARAB_LEAGUE;;Algeria joins Arab League
#-- Mongolia joins COMECON:
1962;23;MN;JOIN_BLOCK;COMECON;;Mongolia joins COMECON
1962;23;MN;SET_RELATIONS_OVERRIDE;USSR;4;Mongolia-Soviet close alignment
#-- Jamaica gains independence:
1962;32;JM;LEAVE_BLOCK;COMMONWEALTH_COLONIES;;Jamaica independence
#-- Trinidad & Tobago Gains independence:
1962;35;TT;LEAVE_BLOCK;COMMONWEALTH_COLONIES;;Trinidad and Tobago independence
#-- Yemeni revolution. Leads to Egypt and Saudi relations deteriorating, Yemen drifts into Soviet orbit:
1962;39;EG;SET_RELATIONS_OVERRIDE;SA;-2;Yemen Civil War - Egypt-Saudi proxy conflict
1962;39;YE;SET_RELATIONS_OVERRIDE;USSR;2;Yemen - Soviet support for republicans
#-- Uganda gains independence:
1962;41;UG;LEAVE_BLOCK;COMMONWEALTH_COLONIES;;Uganda independence
#-- Sino-Indian War:
1962;42;CN;SET_RELATIONS_OVERRIDE;IN;-2;Sino-Indian War - border invasion
#-- Cuban Missile Crisis & Following Resolution:
1962;45;USSR;SET_RELATIONS_OVERRIDE;USA_DOMESTIC;-2;Crisis resolved - back to cold hostility
#-- France blocks GB from joining EEC, Commonwealth Markets pivot:
1963;3;FR_DOMESTIC;SET_RELATIONS_OVERRIDE;GB_DOMESTIC;2;De Gaulle vetoes British EEC entry
1963;7;AU_DOMESTIC;SET_RELATIONS_OVERRIDE;JP;1;Australia seeks new Asian markets post-EEC veto
1963;7;NZ_DOMESTIC;SET_RELATIONS_OVERRIDE;JP;1;New Zealand seeks new Asian markets post-EEC veto
1963;7;CA;SET_RELATIONS_OVERRIDE;JP;1;Canada diversifies trade toward Japan post-EEC veto
#-- Partial Nuclear Test Ban Treaty:
1963;32;US;SET_RELATIONS_OVERRIDE;USSR;-1;Partial Test Ban Treaty - superpower détente signal
1963;32;USSR;SET_RELATIONS_OVERRIDE;USA_DOMESTIC;-1;Partial Test Ban Treaty - Soviet reciprocation
#-- Singapore Gains Independence:
1963;38;SG;LEAVE_BLOCK;COMMONWEALTH_COLONIES;;Singapore joins Malaysian federation
1963;38;SG;JOIN_BLOCK;COMMONWEALTH_INDEPENDENTS;;Singapore in Commonwealth as part of Malaysia
1963;38;MY;SET_RELATIONS_OVERRIDE;SG;4;Malaysia-Singapore federation
#-- Kenya gains independence:
1963;50;KE;LEAVE_BLOCK;COMMONWEALTH_COLONIES;;Kenya independence
#-- French Gabon Intervention:
1964;7;FR_DOMESTIC;SET_RELATIONS_OVERRIDE;GA;3;France military intervention - Gabon firmly in French orbit
#-- French African Defense Pacts:
1964;12;FR_DOMESTIC;SET_RELATIONS_OVERRIDE;TD,CF,CG,SN,CI,NE,BF;3;France bilateral defence pacts - Françafrique cemented
#-- Brazilian Coup, Shifts Alignemnt towards pro-western:
1964;14;BR;SET_RELATIONS_OVERRIDE;US;3;Brazil military coup - US-backed regime alignment
1964;14;BR;SET_RELATIONS_OVERRIDE;USSR;-2;Brazil anti-communist junta vs Soviet bloc
1964;14;BR;SET_RELATIONS_OVERRIDE;CN;-1;Brazil anti-communist junta vs PRC
1964;14;BR;SET_RELATIONS_OVERRIDE;CU;-2;Brazil breaks with Cuba - anti-communist alignment
1964;14;BR;SET_RELATIONS_OVERRIDE;WARSAW_PACT;-1;Brazil anti-communist junta vs Soviet bloc
#-- Japan Joins OECD:
1964;18;JP;JOIN_BLOCK;OECD;;Japan joins OECD - first Asian member
#-- Malawi Independence:
1964;28;MW;LEAVE_BLOCK;COMMONWEALTH_COLONIES;;Malawi independence
#-- Gulf of Tonkin:
1964;32;USA_DOMESTIC;SET_RELATIONS_OVERRIDE;VN;-3;Gulf of Tonkin - US enters Vietnam War
1964;32;USSR;SET_BLOCK_RELATIONS;USA_DOMESTIC;-3;Soviet response to US Vietnam escalation
#-- Malteese independence:
1964;39;MT;LEAVE_BLOCK;COMMONWEALTH_COLONIES;;Malta independence
1964;39;MT;SET_RELATIONS_OVERRIDE;GB_DOMESTIC,CA,AU_DOMESTIC,NZ_DOMESTIC,HK;3;Malta-UK close ties - British bases and economic dependence
#-- Zambia Independence:
1964;43;ZM;LEAVE_BLOCK;COMMONWEALTH_COLONIES;;Zambia independence
#-- Gambia Independence:
1965;7;GM;LEAVE_BLOCK;COMMONWEALTH_COLONIES;;Gambia independence
#-- Dominican Republic US Intervention:
1965;18;DO;SET_RELATIONS_OVERRIDE;US;3;US intervention - Dominican Republic aligned with Washington
1965;18;DO;SET_RELATIONS_OVERRIDE;USSR;-2;Dominican Republic anti-communist alignment
1965;18;DO;SET_RELATIONS_OVERRIDE;CU;-3;Dominican Republic vs Cuba
#-- Singapore Independence from Malaysia:
1965;32;MY;SET_RELATIONS_OVERRIDE;SG;2;Malaysia-Singapore post-separation normalisation
1965;32;SG;SET_RELATIONS_OVERRIDE;GB_DOMESTIC;3;Singapore independent - close UK ties retained
#-- Indo-Pakistani War:
1965;36;IN;SET_RELATIONS_OVERRIDE;PK;-3;Indo-Pakistani War 1965 - full scale conflict
#-- Indonesia Pivots:
1965;40;ID;LEAVE_BLOCK;NAM_CORE;;Indonesia leaves non-aligned core - Suharto coup
1965;40;ID;SET_RELATIONS_OVERRIDE;US;2;Indonesia-US alignment under Suharto
1965;40;ID;SET_RELATIONS_OVERRIDE;USSR;-2;Indonesia purges communist ties
1965;40;ID;SET_RELATIONS_OVERRIDE;CN;-3;Indonesia-China break - mass PKI killings
#-- Rhodesia Declares Independence:
1965;46;ZW;LEAVE_BLOCK;COMMONWEALTH_INDEPENDENTS;;Rhodesian UDI - expelled from Commonwealth
1965;46;ZW;SET_RELATIONS_OVERRIDE;GB_DOMESTIC;-1;Rhodesia UDI - Britain imposes sanctions
1965;46;ZW;SET_RELATIONS_OVERRIDE;ZA;2;Rhodesia-South Africa solidarity - white minority regimes
1965;46;ZW;SET_RELATIONS_OVERRIDE;AU_DOMESTIC;-1;Australia supports Commonwealth sanctions
