IATA,Affinities
ORF, "Defence NATO";"Shipbuilding";"Maritime Shipping";"Rail Freight"
PHF, "Defence NATO";"Shipbuilding"
RDU, "Software & IT";"Biotech & Pharma";"NA Finance";"R&D";"Academia";"Professional Services"
GSO, "Automotive";"Aerospace";"Heavy Industry"
GSP, "Automotive";"Industrial Automation"
CLT, "NA Finance";"Banking";"Insurance";"Professional Services";"Consulting";
ATL, "Professional Services";"Consulting";"Rail Freight";"Media & Entertainment";"Consumer Goods";"Government"
BHM, "Pharma & Biotech";"Insurance";"Heavy Industry"
HSV, "Aerospace";"Defence NATO";"R&D"
TYS, "Government";"R&D";"Academia"
CHA, "Automotive"
MGM, "Government";"Defence NATO"
BNA, "Biotech & Pharma";"Professional Services";"Media & Entertainment"
JAX, "Maritime Shipping";"Rail Freight";"Insurance";"Defence NATO"
TPA, "Professional Services";"NA Finance";"Insurance"
MCO, "Professional Services";
SDF, "NA Logistics";"Heavy Industry";"Professional Services"
LEX, "Government";"Automotive";"Academia"
CVG, "Professional Services";"Consumer Goods";"Banking"
DAY, "Aerospace";"Defence NATO"
CMH, "Government";"NA Finance";"Insurance";"Professional Services"
IND, "Professional Services";"NA Logistics";"Heavy Industry";"Biotech & Pharma"
CLE, "Biotech & Pharma";"Heavy Industry";"Professional Services";"Insurance"
CAK, "Petrochemicals"
TOL, "Automotive"
DTW, "Automotive";"Industrial Automation";"Heavy Industry";"R&D";"NA Finance"
LAN, "Government"
MSP, "Professional Services";"Specialty Manufacturing";"Consumer Goods";"Insurance";"Banking;"
ROC, "Specialty Manufacturing";"R&D"
DEN, "Professional Services";"Consulting";"Oil & Gas";"Renewables";"Aerospace";"Software & IT";"Remote Workers"
COS, "Defence NATO"
OGD, "Defence NATO";"Aerospace"
SLC, "Government";"Banking";"Professional Services";"Consulting";"Software & IT";"Remote Workers"
PVU, "Academia";"R&D"
BOI, "Microelectronics";"Government";"Software & IT";"Professional Services";"Remote Workers"
GEG, "Rail Freight"
PDX, "Professional Services";"Software & IT";"Microelectronics";"Consumer Goods"
SEA, "Professional Services";"Consulting";"Software & IT";"Venture Capital";"Aerospace";"Maritime Shipping"
PHX, "Professional Services";"Consulting";"Microelectronics";"Software & IT"
LAS, "Professional Services";"Consulting";"Media & Entertainment"
TUS, "Aerospace";"Defence NATO";"Academia"
RNO, "Specialty Manufacturing";"Industrial Automation"
ELP, "NA Logistics";"Defence NATO"
AMA, "Oil & Gas"
MAF, "Oil & Gas"
LRD, "NA Logistics"
BRO, "Aerospace";"NA Logistics";"Shipbuilding"
CRP, "Oil & Gas"
AEX, "Defence NATO"
LFT, "Oil & Gas"
BTR, "Government";"Petrochemicals";"Oil & Gas"
MSY, "Oil & Gas"; "Maritime Shipping"
JAN, "Government"
LIT, "Government";"Consumer Goods"
SHV, "Oil & Gas"
GGG, "Heavy Industry"
AUS, "Professional Services";"Consulting";"Software & IT";"Venture Capital";"Government";"Academia"
SAT, "Defence NATO";"Aerospace";"Automotive"
ICT, "Aerospace"
OKC, "Oil & Gas";"Government"
TUL, "Oil & Gas";"Aerospace"
MCI, "Professional Services";"Telco";"Rail Freight";
XNA, "Consumer Goods"
LNK, "Government"
OMA, "Professional Services";"Insurance";"Rail Freight";"Banking";"Telco"
DSM, "Professional Services";"Insurance"
STL, "Defence NATO";"Aerospace";"Pharma & Biotech";"Professional Services"
PIA, "Heavy Industry"
CMI, "Academia";"R&D"
MLI, "Automotive";"Professional Services";"Defence NATO"
CID, "Aerospace"
MSN, "Government";"Academia";"R&D";"Professional Services";"Biotech & Pharma"
MKE, "Professional Services";"Industrial Automation";"Heavy Industry"
SBN, "Academia";"R&D"
FNT, "Automotive"
MBS, "Petrochemicals";"R&D"
BUF, "Professional Services";"NA Logistics";"Heavy Industry"
ROC, "Specialty Manufacturing";"R&D"
SYR, "Microelectronics"
ALB, "Government";"R&D";"Microelectronics"
BGR, "Government"
PWM, "Remote Workers"
MHT, "Professional Services"
ORH, "Academia"
AVP, "Heavy Industry"
MDT, "Government";"Professional Services"
OAJ, "Defence NATO"
FAY, "Defence NATO"
CHS, "Aerospace";"Maritime Shipping"
SAV, "Maritime Shipping";"NA Logistics"
PIT, "Professional Services";"Industrial Automation";"Specialty Manufacturing";"Software & IT";"R&D"
MOB, "Maritime Shipping";"Shipbuilding";"Heavy Industry";"Aerospace"
YYZ, "Professional Services";"Consulting";"Global Finance";"NA Finance";"Software & IT";"Media & Entertainment";"Government";"Academia"
YHM, "Heavy Industry";"NA Logistics"
YUL, "Professional Services";"Consulting";"NA Finance";"Software & IT";"Pharma & Biotech";"Aerospace";"Venture Capital"   
YVR, "Professional Services";"Consulting";"NA Finance";"Asia Finance";"Maritime Shipping";"Software & IT";"Media & Entertainment";"Academia";"Mining"
YEG, "Oil & Gas";"Petrochemicals";"Heavy Industry";"Renewables";"NA Logistics"
YYC, "Oil & Gas";"Petrochemicals";"Software & IT";"NA Logistics";"Academia";"Professional Services";"Consulting"
YWG, "Aerospace";"NA Logistics";"Government";"Academia";"Heavy Industry";"Professional Services";"Consulting"
YOW, "Government";"Professional Services";"Academia"
YQB, "Government";"Specialty Manufacturing";"Insurance"
YHZ, "Government";"Maritime Shipping"
MEX, "Government";"NA Finance";"LATAM Finance";"Professional Services";"Media & Entertainment";"Academia"
TLC, "Automotive";"Heavy Industry"
PBC, "Automotive";"Heavy Indutry";"Consumer Goods"
QRO, "Aerospace";"Automotive";"Specialty Manufacturing";"Academia";"Professional Services"
MLM, "Government";"Consumer Goods"
BJX, "Consumer Goods"
GDL, "Software & IT";"Microelectronics";"Professional Services";"NA Finance";"Academia";"Specialty Manufacturing";"Consumer Goods"
AGU, "Automotive";"Heavy Industry"
SLP, "Automotive";"Professional Services";"Heavy Industry";"NA Logistics";"Academia"
UPN, "Consumer Goods"
ZCL, "Government";"Mining"
MTY, "Heavy Industry";"Automotive";"Consumer Goods";"Professional Services";"Academia";"NA Logistics";"NA Finance"
