manufacturer,country_code,family,name,airplane_type,intro_year,intro_week,price,capacity,range,fuel_burn,fuel_burn_climb,speed,runway_requirement,climb_rate,cruise_altitude,lifespan,construction_time,image_url
Boeing,US,Boeing 727,Boeing 727-100,REGIONAL,1964,5,53710000,131,4170,4140,8141,917,2530,1790,9500,35,12,
Boeing,US,Boeing 727,Boeing 727-200,MEDIUM,1967,52,77490000,189,3137,5846,9500,917,2790,1600,9500,35,16,
Boeing,US,Boeing 727,Boeing 727-200 Advanced,MEDIUM,1972,27,78435000,189,3857,5588,9616,917,1821,607,9000,35,16,
Boeing,US,Boeing 737,Boeing 737-100,REGIONAL,1968,17,47120000,124,2850,2650,5299,870,1900,1650,9100,35,12,
Boeing,US,Boeing 737,Boeing 737-200,REGIONAL,1968,17,53600000,134,4184,2820,5635,870,2097,1708,9100,35,12,
Douglas Corporation,US,Douglas DC-8,Douglas DC-8-61,MEDIUM,1967,6,116550000,259,5661,6464,13654,845,3051,693,9500,35,24,
Douglas Corporation,US,Douglas DC-8,Douglas DC-8-62,MEDIUM,1967,14,89775000,189,9317,6304,13574,845,2976,658,10700,35,16,
Douglas Corporation,US,Douglas DC-8,Douglas DC-8-63,MEDIUM,1967,30,12950000,259,8095,6986,14494,845,3309,658,10700,35,24,
Ilyushin,RU,Ilyushin Il-62,Ilyushin Il-62,MEDIUM,1967,36,74400000,186,8650,6786,17283,870,3144,1858,10500,30,16,
Ilyushin,RU,Ilyushin Il-62,Ilyushin Il-62M,MEDIUM,1974,9,84150000,198,9770,6493,17910,870,2756,1252,10500,35,16,
Tupolev,RU,Tupolev Tu-114,Tupolev Tu-114,MEDIUM,1961,30,99000000,220,8950,5500,10000,760,2500,360,9000,35,18,
Tupolev,RU,Tupolev Tu-134,Tupolev Tu-134,REGIONAL,1966,44,27360000,72,2680,2482,4665,870,1192,2205,11000,25,8,
Tupolev,RU,Tupolev Tu-134,Tupolev Tu-134A,REGIONAL,1970,48,31920000,84,3092,2650,5000,870,1500,1900,11000,30,8,
Tupolev,RU,Tupolev Tu-134,Tupolev Tu-134B,REGIONAL,1975,13,36480000,96,3260,2825,5100,870,1650,2000,11000,30,8,
Tupolev,RU,Tupolev Tu-154,Tupolev Tu-154,MEDIUM,1972,7,67200000,168,5500,4855,10200,925,1750,1145,11000,30,16,
Tupolev,RU,Tupolev Tu-154,Tupolev Tu-154A,MEDIUM,1974,16,67200000,168,6100,4550,10400,925,2200,1330,11000,30,16,
Tupolev,RU,Tupolev Tu-154,Tupolev Tu-154B,MEDIUM,1976,27,72000000,180,4000,5600,10200,900,2430,1500,11000,35,16,
Tupolev,RU,Tupolev Tu-154,Tupolev Tu-154M,MEDIUM,1983,25,72000000,180,5817,5572,9400,900,1980,1164,10000,35,16,
Boeing,US,Boeing 747,Boeing 747-100,JUMBO,1970,4,288000000,480,10550,11304,18804,880,2896,552,9000,35,56,
Boeing,US,Boeing 747,Boeing 747-200,JUMBO,1971,27,314400000,524,11482,12000,20300,950,3150,650,10500,35,56,
McDonnell-Douglas,US,McDonnell-Douglas DC-10,DC-10-10,X_LARGE,1971,31,200000000,400,7323,7783,13854,925,3183,714,9100,35,48,
McDonnell-Douglas,US,McDonnell-Douglas DC-10,DC-10-30,X_LARGE,1972,44,210000000,380,9534,8992,15678,900,3172,898,9100,35,48,
McDonnell-Douglas,US,McDonnell-Douglas DC-10,DC-10-30ER,X_LARGE,1972,44,225000000,380,12500,9500,16200,900,3346,900,9100,35,48,
McDonnell-Douglas,US,McDonnell-Douglas DC-10,DC-10-40,X_LARGE,1973,9,215000000,380,10254,9282,15982,900,3548,830,9100,35,48,
McDonnell-Douglas,US,McDonnell-Douglas DC-10,DC-10-40ER,X_LARGE,1974,12,220000000,380,11325,9800,16500,900,3600,1150,9100,35,48,
Lockheed,US,Lockheed L-1011 Tristar,L-1011-1,X_LARGE,1972,14,215000000,384,7334,7452,21986,890,2425,1030,10600,35,48,
Lockheed,US,Lockheed L-1011 Tristar,L-1011-100,X_LARGE,1975,27,220000000,384,9302,7593,22133,890,3051,962,10600,35,48,
Lockheed,US,Lockheed L-1011 Tristar,L-1011-200,X_LARGE,1977,19,220000000,384,9420,7520,22650,890,2572,1250,10600,35,48,
Lockheed,US,Lockheed L-1011 Tristar,L-1011-500,X_LARGE,1979,19,200000000,320,10741,8048,23160,900,2672,1224,10600,35,48,
British Aerospace,GB,Concorde,Concorde,SUPERSONIC,1976,3,250000000,128,7223,20500,27500,2170,3600,2250,18300,20,36,
